# Language file for DOL
# Language used : FRENCH / FRANCAIS
# Create by DOL
#
# #-Beginning and Empty lines are ignored
# TABS are ignored at the left of ':' too.
# {0} etc. are for args, don't remove them !
#
# Please try to keep ID's alphabetical order

# LANGUAGEMGR
System.LanguagesName.EN:					Anglais
Mimic.Chat.NeedCure.1:					Besoin d'un cure sur {0}.
Mimic.Chat.NeedCure.2:					{0} a un débuff.
Mimic.Chat.NeedCure.3:					Cleanse {0} stp.
Mimic.Chat.Pulling.1:					Je pull {0}.
Mimic.Chat.Pulling.2:					Je tag {0}, ça arrive.
Mimic.Chat.Pulling.3:					Je ramène {0} au camp.
Mimic.Chat.ReleaseToBind.1:				Je release au bind.
Mimic.Chat.ReleaseToBind.2:				Je release et je reviens.
Mimic.Chat.ReleaseToBind.3:				Je remonte du bind.
Mimic.Chat.Retreat.1:					On recule !
Mimic.Chat.Retreat.2:					Retraite, on regroupe !
Mimic.Chat.Retreat.3:					Repli !
Mimic.Chat.Rezzing.1:					Rez sur {0}.
Mimic.Chat.Rezzing.2:					Je remonte {0}.
Mimic.Chat.Rezzing.3:					Ne bouge pas, rez sur {0}.
Mimic.Chat.TankEngage.1:				J'ai l'aggro, tapez !
Mimic.Chat.TankEngage.2:				Sur moi, focus DPS.
Mimic.Chat.TankEngage.3:				Aggro bloquée, allez-y !
